age,education,occupation,marital_status,spending_score,credit_score,work_experience,loan_status,income
58,Master,Engineer,Widowed,52,507,9,No Loan,127690
48,High School,Engineer,Single,20,614,14,Large Loan,103191
34,High School,Lawyer,Divorced,40,603,38,No Loan,111501
62,PhD,Manager,Widowed,59,538,28,Small Loan,106852
27,Bachelor,Lawyer,Single,77,523,24,No Loan,170244
40,Bachelor,Teacher,Widowed,14,387,5,No Loan,145574
58,Master,Lawyer,Married,44,836,10,Large Loan,171601
38,Bachelor,Teacher,Married,86,728,16,Small Loan,98590
42,PhD,Engineer,Single,82,519,14,Large Loan,130218
30,PhD,Manager,Married,48,574,15,No Loan,65281
30,Master,Teacher,Widowed,93,365,1,Small Loan,98805
43,PhD,Manager,Single,43,722,35,Large Loan,101626
55,High School,Manager,Widowed,16,554,18,No Loan,83235
59,High School,Teacher,Widowed,35,424,37,Small Loan,111676
43,PhD,Doctor,Widowed,53,445,20,Large Loan,37876
22,Master,Lawyer,Married,34,684,10,Small Loan,81680
41,Bachelor,Teacher,Married,3,746,2,No Loan,171169
21,Master,Engineer,Widowed,68,686,33,Large Loan,158931
43,Bachelor,Manager,Divorced,5,682,17,No Loan,49877
63,PhD,Artist,Widowed,10,576,14,Small Loan,170700
49,PhD,Teacher,Widowed,52,681,24,No Loan,103117
57,High School,Lawyer,Single,29,423,14,Small Loan,164372
21,Bachelor,Manager,Widowed,96,566,29,Large Loan,27412
40,Master,Doctor,Married,31,410,16,No Loan,125951
52,PhD,Engineer,Single,66,680,17,Large Loan,117837
31,Master,Doctor,Divorced,76,457,30,Large Loan,159410
41,High School,Artist,Single,91,847,17,Large Loan,84484
63,Bachelor,Teacher,Divorced,69,417,34,Large Loan,30804
44,Bachelor,Manager,Single,37,627,12,No Loan,146919
46,PhD,Teacher,Single,27,367,13,No Loan,78675
61,Bachelor,Lawyer,Divorced,87,733,35,Large Loan,119845
47,PhD,Teacher,Married,33,658,17,Large Loan,110733
35,High School,Engineer,Married,68,742,4,Small Loan,37392
34,Bachelor,Artist,Married,59,463,13,Large Loan,100984
63,PhD,Doctor,Single,64,660,24,Small Loan,176101
22,Master,Artist,Widowed,85,418,38,Small Loan,90263
56,PhD,Manager,Single,88,494,11,Large Loan,52097
26,Bachelor,Teacher,Widowed,44,540,39,No Loan,126721
40,High School,Manager,Widowed,95,808,27,Small Loan,172467
28,Bachelor,Doctor,Married,88,441,34,No Loan,179065
58,Bachelor,Manager,Widowed,49,330,0,Large Loan,87088
37,PhD,Lawyer,Single,53,522,2,Large Loan,85610
23,Master,Artist,Single,74,565,6,Large Loan,42258
44,Bachelor,Doctor,Married,49,581,8,Large Loan,163375
33,Master,Doctor,Divorced,66,680,35,Small Loan,37177
28,PhD,Doctor,Single,95,361,22,Small Loan,169819
45,Master,Engineer,Widowed,63,820,23,No Loan,122318
21,PhD,Artist,Single,25,370,9,No Loan,46823
39,High School,Manager,Single,4,835,11,Small Loan,130312
47,Master,Doctor,Single,51,439,18,Large Loan,103812
26,Master,Artist,Divorced,11,615,31,No Loan,36963
63,High School,Doctor,Widowed,17,639,23,Small Loan,181000
27,Master,Lawyer,Married,66,827,21,No Loan,131466
54,High School,Lawyer,Single,70,840,2,Small Loan,105385
33,Bachelor,Lawyer,Widowed,73,715,39,Large Loan,116618
36,PhD,Teacher,Widowed,69,766,26,Small Loan,117141
55,High School,Doctor,Married,84,674,18,No Loan,35038
59,Master,Teacher,Single,29,590,8,Small Loan,130841
23,High School,Artist,Divorced,85,342,12,No Loan,127334
21,Master,Teacher,Widowed,73,352,1,No Loan,28438
25,Bachelor,Artist,Married,92,531,35,No Loan,60151
61,High School,Artist,Divorced,72,511,28,Large Loan,192207
23,Bachelor,Artist,Widowed,95,307,10,Large Loan,31167
48,PhD,Manager,Single,20,782,33,Small Loan,38172
37,Master,Teacher,Widowed,27,341,3,Small Loan,126787
45,Master,Manager,Divorced,8,632,3,No Loan,186432
63,Bachelor,Doctor,Divorced,85,532,0,Large Loan,91310
53,PhD,Teacher,Single,61,369,24,Small Loan,113950
29,High School,Doctor,Single,28,315,25,Small Loan,111258
55,High School,Doctor,Married,87,368,10,Large Loan,72445
33,Master,Artist,Single,70,352,22,No Loan,114941
50,Bachelor,Teacher,Married,3,678,1,Small Loan,192770
34,Bachelor,Doctor,Divorced,69,762,18,No Loan,183328
27,High School,Lawyer,Divorced,73,826,28,Large Loan,59207
33,PhD,Doctor,Widowed,7,362,39,Large Loan,145934
42,PhD,Lawyer,Widowed,60,560,3,Small Loan,154183
59,High School,Teacher,Married,4,799,15,Small Loan,130728
40,High School,Manager,Single,5,420,36,Large Loan,130004
35,Bachelor,Teacher,Single,11,539,26,No Loan,181223
64,PhD,Manager,Widowed,15,764,4,No Loan,79236
37,High School,Manager,Divorced,64,406,14,Large Loan,63278
43,High School,Teacher,Married,98,479,22,Small Loan,101709
45,Master,Doctor,Divorced,13,315,2,Large Loan,135260
44,High School,Engineer,Divorced,7,654,17,Small Loan,72350
64,High School,Doctor,Single,6,608,25,No Loan,183024
60,PhD,Doctor,Married,56,480,5,Small Loan,150085
48,Bachelor,Artist,Divorced,64,473,16,No Loan,148797
34,PhD,Artist,Widowed,50,653,37,Large Loan,35937
64,Bachelor,Doctor,Widowed,30,653,26,Small Loan,197774
20,Master,Lawyer,Single,22,518,19,No Loan,64496
44,High School,Manager,Widowed,25,614,5,Small Loan,142221
26,Master,Artist,Widowed,28,733,34,No Loan,48794
28,Bachelor,Doctor,Divorced,84,581,11,No Loan,149717
43,PhD,Engineer,Widowed,39,558,2,Large Loan,181057
20,PhD,Lawyer,Widowed,67,304,3,Large Loan,44391
63,Master,Teacher,Divorced,5,693,3,Small Loan,97406
27,Bachelor,Doctor,Single,65,635,3,No Loan,112054
43,Master,Doctor,Single,15,362,38,Large Loan,46993
30,Master,Manager,Married,90,343,20,Small Loan,67639
36,High School,Lawyer,Widowed,67,452,1,Large Loan,54720
27,Master,Artist,Divorced,40,455,15,Small Loan,165978
54,High School,Artist,Married,98,777,6,Large Loan,88820
54,High School,Artist,Single,69,574,18,Large Loan,108117
52,PhD,Teacher,Single,95,657,32,No Loan,88238
24,High School,Lawyer,Divorced,77,725,8,No Loan,154814
61,High School,Lawyer,Married,43,831,36,Large Loan,131390
58,PhD,Artist,Married,1,782,16,No Loan,101944
60,Master,Artist,Divorced,22,513,26,Large Loan,118068
47,Bachelor,Manager,Divorced,62,378,32,Small Loan,28193
26,Bachelor,Engineer,Married,79,438,11,Large Loan,65986
28,Bachelor,Engineer,Single,26,397,10,Large Loan,30220
27,Master,Doctor,Widowed,18,497,12,Small Loan,175429
31,High School,Doctor,Single,48,455,30,Small Loan,64299
53,Bachelor,Lawyer,Divorced,9,349,12,No Loan,175621
52,Master,Lawyer,Married,1,778,37,Small Loan,42474
42,High School,Teacher,Married,9,527,25,No Loan,82593
43,PhD,Teacher,Widowed,23,756,30,Large Loan,156213
56,Bachelor,Engineer,Married,45,821,21,Small Loan,107186
54,High School,Doctor,Widowed,2,448,5,Large Loan,131023
63,Bachelor,Engineer,Single,14,357,19,No Loan,45694
59,Bachelor,Engineer,Single,38,461,20,Small Loan,131991
41,Bachelor,Doctor,Married,40,776,9,No Loan,172935
46,High School,Teacher,Married,63,406,18,No Loan,27690
54,Master,Manager,Divorced,82,726,34,Small Loan,139153
20,High School,Manager,Divorced,16,694,25,Small Loan,70056
54,Bachelor,Manager,Married,93,485,6,No Loan,177392
56,High School,Doctor,Married,75,745,36,Small Loan,92963
33,PhD,Artist,Single,6,747,7,No Loan,181491
22,Master,Artist,Married,3,386,4,Large Loan,65832
20,High School,Artist,Divorced,14,548,35,Large Loan,192055
24,PhD,Lawyer,Single,66,739,27,Small Loan,47365
45,Master,Teacher,Widowed,96,556,2,Small Loan,159983
33,PhD,Teacher,Divorced,95,576,38,Large Loan,142037
58,Master,Lawyer,Divorced,75,737,7,No Loan,156721
46,High School,Engineer,Single,86,815,14,No Loan,51469
28,PhD,Manager,Widowed,67,501,26,No Loan,118362
34,Bachelor,Artist,Divorced,31,479,35,Small Loan,106039
34,PhD,Manager,Married,33,624,15,No Loan,68346
45,Master,Artist,Divorced,88,774,25,Small Loan,112498
61,High School,Manager,Single,1,699,3,Small Loan,196956
32,Master,Engineer,Single,44,516,11,Small Loan,124658
51,PhD,Manager,Single,15,752,16,Large Loan,173749
58,PhD,Manager,Divorced,37,703,25,No Loan,85390
51,Bachelor,Doctor,Widowed,27,539,30,Small Loan,110178
23,High School,Manager,Married,48,485,14,No Loan,87635
49,High School,Doctor,Single,27,347,33,Large Loan,99131
56,PhD,Teacher,Widowed,12,685,28,No Loan,104315
42,High School,Lawyer,Married,67,507,8,Large Loan,88734
58,Bachelor,Manager,Single,30,456,13,Small Loan,37164
64,Master,Teacher,Married,96,524,35,Small Loan,78184
34,High School,Doctor,Married,87,443,3,Large Loan,191446
62,PhD,Manager,Widowed,66,718,37,Small Loan,116964
48,Master,Manager,Married,7,410,36,No Loan,126678
55,Master,Engineer,Single,34,764,23,No Loan,116041
32,Bachelor,Teacher,Widowed,32,431,16,Large Loan,103709
51,PhD,Artist,Divorced,39,633,12,No Loan,54580
26,High School,Artist,Divorced,96,374,19,Small Loan,179390
41,PhD,Engineer,Widowed,43,711,16,Small Loan,170699
47,Master,Doctor,Divorced,43,818,26,Small Loan,96614
21,PhD,Artist,Married,78,335,32,No Loan,192163
61,High School,Artist,Single,3,522,20,Small Loan,39444
64,High School,Lawyer,Married,46,829,16,No Loan,195945
25,Bachelor,Teacher,Widowed,32,540,21,Large Loan,42747
47,High School,Doctor,Single,43,433,24,Small Loan,165301
47,High School,Manager,Widowed,81,690,2,Large Loan,138332
63,PhD,Teacher,Widowed,3,401,26,No Loan,142699
63,PhD,Doctor,Widowed,74,797,26,No Loan,92626
39,Master,Artist,Married,63,810,11,Large Loan,82804
49,Bachelor,Lawyer,Single,40,836,14,Small Loan,57368
30,PhD,Teacher,Single,18,844,37,Small Loan,35944
47,High School,Artist,Single,67,642,19,Small Loan,187824
44,Master,Doctor,Married,62,305,21,Large Loan,57916
58,PhD,Teacher,Divorced,10,493,1,No Loan,45817
52,Bachelor,Manager,Married,52,436,3,Large Loan,26133
20,Bachelor,Teacher,Married,73,772,12,No Loan,132603
46,Master,Artist,Widowed,46,515,31,Small Loan,150482
32,Master,Teacher,Single,55,648,21,Small Loan,141801
60,Master,Manager,Single,46,482,24,No Loan,184742
